Designator,Mid X,Mid Y,Layer,Rotation
BOOT,26.67, 3.56,Top,180.0
C1, 6.10,49.15,Top,270.0
C2, 2.54,44.07,Top,0.0
C3, 2.54,41.53,Top,0.0
C4, 5.21,51.94,Top,90.0
C5, 6.60,52.20,Top,90.0
C6, 2.79, 4.19,Top,270.0
C7,32.64,22.48,Top,270.0
C8,28.19, 7.11,Top,180.0
C9,29.34,22.73,Top,180.0
C10,34.42,15.88,Top,90.0
C11,31.75,15.88,Top,270.0
C12,27.18,22.86,Top,270.0
C13,21.97,21.84,Top,270.0
C14, 7.49,13.84,Top,0.0
C15, 7.62,16.13,Top,0.0
C16,11.94, 9.53,Top,270.0
C17, 7.75, 9.53,Top,270.0
C18,13.08,21.84,Top,90.0
C19,13.59,15.62,Top,180.0
C20,21.46,27.05,Top,270.0
D1, 5.97,11.81,Top,90.0
D2,17.14,19.05,Top,90.0
IC1,24.64,21.72,Top,0.0
J1,32.13,43.56,Top,90.0
J2,30.48,33.27,Top,90.0
J3,30.48, 7.62,Top,90.0
J4,17.65, 2.03,Top,0.0
J5, 3.68,24.13,Top,90.0
L1, 9.78,10.03,Top,180.0
MK1,24.26,28.96,Top,180.0
Q1,12.45,24.00,Top,0.0
R1, 7.62,49.15,Top,270.0
R2, 7.37,42.93,Top,90.0
R3,28.19, 9.91,Top,180.0
R4,28.19, 8.51,Top,180.0
R5, 6.35, 1.27,Top,0.0
R6,26.54, 1.02,Top,180.0
R7,15.49,15.49,Top,90.0
R8,16.13,22.73,Top,0.0
R9,11.43,20.07,Top,90.0
RESET, 6.22, 4.19,Top,180.0
SW1, 1.78,14.22,Top,270.0
U1,18.92,47.24,Top,0.0
U2,31.24,20.07,Top,0.0
U3,32.64,13.21,Top,270.0
U4, 9.91,14.61,Top,90.0
U5,14.61,19.05,Top,270.0
U6,19.05,12.70,Top,270.0
Y1, 5.33,42.80,Top,90.0
